trial,trial_seed,H,success,epochs,final_mse,inference_rcp,active_cells,R,population,elite_k,restarts,allow_direct_ab_to_y,best_search_mse,best_acc,max_epochs,mode,mode_variant,n_effective,R_effective
0,42,0,0,500,0.4990,114.00,3,2,8,2,5,True,0.4990,0.75,500,wbit,wbit,1,2
1,43,0,0,500,0.4990,111.00,3,2,8,2,5,True,0.4990,0.75,500,wbit,wbit,1,2
2,44,0,0,500,0.4990,108.00,3,2,8,2,5,True,0.4990,0.75,500,wbit,wbit,1,2
3,45,0,0,500,0.4990,108.00,3,2,8,2,5,True,0.4990,0.75,500,wbit,wbit,1,2
4,46,0,0,500,0.4990,111.00,3,2,8,2,5,True,0.4990,0.75,500,wbit,wbit,1,2
5,47,0,0,500,0.4990,114.00,3,2,8,2,5,True,0.4990,0.75,500,wbit,wbit,1,2
6,48,0,0,500,0.4990,114.00,3,2,8,2,5,True,0.4990,0.75,500,wbit,wbit,1,2
7,49,0,0,500,0.4990,111.00,3,2,8,2,5,True,0.4990,0.75,500,wbit,wbit,1,2
8,50,0,0,500,0.4990,111.00,3,2,8,2,5,True,0.4990,0.75,500,wbit,wbit,1,2
9,51,0,0,500,0.4990,111.00,3,2,8,2,5,True,0.4990,0.75,500,wbit,wbit,1,2
10,52,0,0,500,0.4990,111.00,3,2,8,2,5,True,0.4990,0.75,500,wbit,wbit,1,2
11,53,0,0,500,0.4990,111.00,3,2,8,2,5,True,0.4990,0.75,500,wbit,wbit,1,2
12,54,0,0,500,0.4990,108.00,3,2,8,2,5,True,0.4990,0.75,500,wbit,wbit,1,2
13,55,0,0,500,0.4990,105.00,3,2,8,2,5,True,0.4990,0.75,500,wbit,wbit,1,2
14,56,0,0,500,0.4990,111.00,3,2,8,2,5,True,0.4990,0.75,500,wbit,wbit,1,2
15,57,0,0,500,0.4990,114.00,3,2,8,2,5,True,0.4990,0.75,500,wbit,wbit,1,2
16,58,0,0,500,0.4990,111.00,3,2,8,2,5,True,0.4990,0.75,500,wbit,wbit,1,2
17,59,0,0,500,0.4990,108.00,3,2,8,2,5,True,0.4990,0.75,500,wbit,wbit,1,2
18,60,0,0,500,0.4990,111.00,3,2,8,2,5,True,0.4990,0.75,500,wbit,wbit,1,2
19,61,0,0,500,0.4990,114.00,3,2,8,2,5,True,0.4990,0.75,500,wbit,wbit,1,2
0,1042,1,1,46,0.0040,196.00,4,2,8,2,5,True,0.0040,1.00,500,wbit,wbit,1,2
1,1043,1,1,6,0.0026,192.00,4,2,8,2,5,True,0.0026,1.00,500,wbit,wbit,1,2
2,1044,1,1,31,0.0010,176.00,4,2,8,2,5,True,0.0010,1.00,500,wbit,wbit,1,2
3,1045,1,1,175,0.0000,180.00,4,2,8,2,5,True,0.0000,1.00,500,wbit,wbit,1,2
4,1046,1,1,37,0.0011,188.00,4,2,8,2,5,True,0.0011,1.00,500,wbit,wbit,1,2
5,1047,1,1,11,0.0183,184.00,4,2,8,2,5,True,0.0183,1.00,500,wbit,wbit,1,2
6,1048,1,1,33,0.0005,172.00,4,2,8,2,5,True,0.0005,1.00,500,wbit,wbit,1,2
7,1049,1,1,110,0.0000,196.00,4,2,8,2,5,True,0.0000,1.00,500,wbit,wbit,1,2
8,1050,1,1,100,0.0001,172.00,4,2,8,2,5,True,0.0001,1.00,500,wbit,wbit,1,2
9,1051,1,1,29,0.0054,196.00,4,2,8,2,5,True,0.0054,1.00,500,wbit,wbit,1,2
10,1052,1,1,69,0.0158,212.00,4,2,8,2,5,True,0.0158,1.00,500,wbit,wbit,1,2
11,1053,1,1,12,0.0003,188.00,4,2,8,2,5,True,0.0003,1.00,500,wbit,wbit,1,2
12,1054,1,1,2,0.0038,172.00,4,2,8,2,5,True,0.0038,1.00,500,wbit,wbit,1,2
13,1055,1,1,44,0.0114,184.00,4,2,8,2,5,True,0.0114,1.00,500,wbit,wbit,1,2
14,1056,1,1,61,0.0003,168.00,4,2,8,2,5,True,0.0003,1.00,500,wbit,wbit,1,2
15,1057,1,1,55,0.0161,188.00,4,2,8,2,5,True,0.0161,1.00,500,wbit,wbit,1,2
16,1058,1,1,39,0.0006,200.00,4,2,8,2,5,True,0.0006,1.00,500,wbit,wbit,1,2
17,1059,1,1,393,0.0011,204.00,4,2,8,2,5,True,0.0011,1.00,500,wbit,wbit,1,2
18,1060,1,1,21,0.0061,164.00,4,2,8,2,5,True,0.0061,1.00,500,wbit,wbit,1,2
19,1061,1,1,81,0.0000,184.00,4,2,8,2,5,True,0.0000,1.00,500,wbit,wbit,1,2
0,2042,2,1,7,0.0000,230.00,5,2,8,2,5,True,0.0000,1.00,500,wbit,wbit,1,2
1,2043,2,1,170,0.0000,240.00,5,2,8,2,5,True,0.0000,1.00,500,wbit,wbit,1,2
2,2044,2,1,41,0.0000,215.00,5,2,8,2,5,True,0.0000,1.00,500,wbit,wbit,1,2
3,2045,2,1,34,0.0000,215.00,5,2,8,2,5,True,0.0000,1.00,500,wbit,wbit,1,2
4,2046,2,1,21,0.0072,250.00,5,2,8,2,5,True,0.0072,1.00,500,wbit,wbit,1,2
5,2047,2,1,4,0.0126,215.00,5,2,8,2,5,True,0.0126,1.00,500,wbit,wbit,1,2
6,2048,2,1,8,0.0132,265.00,5,2,8,2,5,True,0.0132,1.00,500,wbit,wbit,1,2
7,2049,2,1,94,0.0000,265.00,5,2,8,2,5,True,0.0000,1.00,500,wbit,wbit,1,2
8,2050,2,1,7,0.0129,235.00,5,2,8,2,5,True,0.0129,1.00,500,wbit,wbit,1,2
9,2051,2,1,21,0.0015,230.00,5,2,8,2,5,True,0.0015,1.00,500,wbit,wbit,1,2
10,2052,2,1,5,0.0005,215.00,5,2,8,2,5,True,0.0005,1.00,500,wbit,wbit,1,2
11,2053,2,1,131,0.0022,250.00,5,2,8,2,5,True,0.0022,1.00,500,wbit,wbit,1,2
12,2054,2,1,21,0.0154,215.00,5,2,8,2,5,True,0.0154,1.00,500,wbit,wbit,1,2
13,2055,2,1,15,0.0004,215.00,5,2,8,2,5,True,0.0004,1.00,500,wbit,wbit,1,2
14,2056,2,1,32,0.0022,240.00,5,2,8,2,5,True,0.0022,1.00,500,wbit,wbit,1,2
15,2057,2,1,4,0.0007,225.00,5,2,8,2,5,True,0.0007,1.00,500,wbit,wbit,1,2
16,2058,2,1,180,0.0000,290.00,5,2,8,2,5,True,0.0000,1.00,500,wbit,wbit,1,2
17,2059,2,1,25,0.0158,275.00,5,2,8,2,5,True,0.0158,1.00,500,wbit,wbit,1,2
18,2060,2,1,30,0.0000,245.00,5,2,8,2,5,True,0.0000,1.00,500,wbit,wbit,1,2
19,2061,2,1,117,0.0000,235.00,5,2,8,2,5,True,0.0000,1.00,500,wbit,wbit,1,2
0,4042,4,1,4,0.0012,329.00,7,2,8,2,5,True,0.0012,1.00,500,wbit,wbit,1,2
1,4043,4,1,20,0.0002,329.00,7,2,8,2,5,True,0.0002,1.00,500,wbit,wbit,1,2
2,4044,4,1,5,0.0037,329.00,7,2,8,2,5,True,0.0037,1.00,500,wbit,wbit,1,2
3,4045,4,1,8,0.0018,392.00,7,2,8,2,5,True,0.0018,1.00,500,wbit,wbit,1,2
4,4046,4,1,81,0.0058,385.00,7,2,8,2,5,True,0.0058,1.00,500,wbit,wbit,1,2
5,4047,4,1,12,0.0024,315.00,7,2,8,2,5,True,0.0024,1.00,500,wbit,wbit,1,2
6,4048,4,1,246,0.0130,343.00,7,2,8,2,5,True,0.0130,1.00,500,wbit,wbit,1,2
7,4049,4,1,3,0.0075,308.00,7,2,8,2,5,True,0.0075,1.00,500,wbit,wbit,1,2
8,4050,4,1,4,0.0000,301.00,7,2,8,2,5,True,0.0000,1.00,500,wbit,wbit,1,2
9,4051,4,1,6,0.0001,322.00,7,2,8,2,5,True,0.0001,1.00,500,wbit,wbit,1,2
10,4052,4,1,4,0.0000,336.00,7,2,8,2,5,True,0.0000,1.00,500,wbit,wbit,1,2
11,4053,4,1,4,0.0004,343.00,7,2,8,2,5,True,0.0004,1.00,500,wbit,wbit,1,2
12,4054,4,1,3,0.0030,371.00,7,2,8,2,5,True,0.0030,1.00,500,wbit,wbit,1,2
13,4055,4,1,10,0.0000,357.00,7,2,8,2,5,True,0.0000,1.00,500,wbit,wbit,1,2
14,4056,4,1,2,0.0033,364.00,7,2,8,2,5,True,0.0033,1.00,500,wbit,wbit,1,2
15,4057,4,1,55,0.0008,399.00,7,2,8,2,5,True,0.0008,1.00,500,wbit,wbit,1,2
16,4058,4,1,32,0.0015,301.00,7,2,8,2,5,True,0.0015,1.00,500,wbit,wbit,1,2
17,4059,4,1,2,0.0000,322.00,7,2,8,2,5,True,0.0000,1.00,500,wbit,wbit,1,2
18,4060,4,1,38,0.0000,336.00,7,2,8,2,5,True,0.0000,1.00,500,wbit,wbit,1,2
19,4061,4,1,53,0.0009,406.00,7,2,8,2,5,True,0.0009,1.00,500,wbit,wbit,1,2
