layout,grid,R,T,obstacle_density,sigma,trials,feasible_rate,conditional_success,avg_rcp_success,mean_detour_success,mean_path_success,avg_steps_success,avg_conf_success
random,20,5,0.2,0.38,0.0,5,0.8,1.0,8887.5,1.0,39.5,9,0.8743373065322563
random,20,5,0.2,0.38,0.5,5,0.8,1.0,49375.0,1.0,39.5,50,0.9261378817535586
random,20,5,0.2,0.38,1.0,5,0.8,1.0,49375.0,1.0,39.5,50,0.9583695329383045
random,20,5,0.2,0.38,0.0,5,0.8,1.0,8887.5,1.0,39.5,9,0.8743373065322563
random,20,5,0.2,0.38,0.5,5,0.8,1.0,49375.0,1.0,39.5,50,0.9261378817535586
random,20,5,0.2,0.38,1.0,5,0.8,1.0,49375.0,1.0,39.5,50,0.9583695329383045
random,20,5,0.2,0.38,0.0,5,0.8,1.0,8887.5,1.0,39.5,9,0.8743373065322563
random,20,5,0.2,0.38,0.5,5,0.8,1.0,49375.0,1.0,39.5,50,0.9261378817535586
random,20,5,0.2,0.38,1.0,5,0.8,1.0,49375.0,1.0,39.5,50,0.9583695329383045
random,20,5,0.2,0.38,0.0,5,0.8,1.0,8887.5,1.0,39.5,9,0.8743373065322563
random,20,5,0.2,0.38,0.5,5,0.8,1.0,49375.0,1.0,39.5,50,0.9261378817535586
random,20,5,0.2,0.38,1.0,5,0.8,1.0,49375.0,1.0,39.5,50,0.9583695329383045
