trial,trial_seed,layout,obstacle_density,success,steps,final_confidence,rcp,optimal_dist,active_cells,path_len,detour_ratio,n_obstacles,path_exists,feasible,penalty_used,sigma,R,T,grid
0,342,random,0.3,1,50,1.0000,47500.00,38,38,38,1.00,120,1,1,0,0.1,5,0.2,20
1,343,random,0.3,1,50,0.6543,47500.00,38,38,38,1.00,120,1,1,0,0.1,5,0.2,20
2,344,random,0.3,1,50,1.0000,47500.00,38,38,38,1.00,120,1,1,0,0.1,5,0.2,20
3,345,random,0.3,1,50,0.6580,47500.00,38,38,38,1.00,120,1,1,0,0.1,5,0.2,20
4,346,random,0.3,1,50,1.0000,47500.00,38,38,38,1.00,120,1,1,0,0.1,5,0.2,20
5,347,random,0.3,1,50,1.0000,47500.00,38,38,38,1.00,120,1,1,0,0.1,5,0.2,20
6,348,random,0.3,1,50,1.0000,47500.00,38,38,38,1.00,120,1,1,0,0.1,5,0.2,20
7,349,random,0.3,1,50,0.6548,47500.00,38,38,38,1.00,120,1,1,0,0.1,5,0.2,20
8,350,random,0.3,1,50,1.0000,47500.00,38,38,38,1.00,120,1,1,0,0.1,5,0.2,20
9,351,random,0.3,1,50,1.0000,47500.00,38,38,38,1.00,120,1,1,0,0.1,5,0.2,20
0,442,random,0.4,1,50,1.0000,50000.00,40,40,40,1.00,160,1,1,0,0.1,5,0.2,20
1,443,random,0.4,0,0,0.0,500000.00,0,0,0,0.0,160,0,0,1,0.1,5,0.2,20
2,444,random,0.4,0,0,0.0,500000.00,0,0,0,0.0,160,0,0,1,0.1,5,0.2,20
3,445,random,0.4,0,0,0.0,500000.00,0,0,0,0.0,160,0,0,1,0.1,5,0.2,20
4,446,random,0.4,1,50,0.5601,47500.00,38,38,38,1.00,160,1,1,0,0.1,5,0.2,20
5,447,random,0.4,0,0,0.0,500000.00,0,0,0,0.0,160,0,0,1,0.1,5,0.2,20
6,448,random,0.4,1,50,0.5132,47500.00,38,38,38,1.00,160,1,1,0,0.1,5,0.2,20
7,449,random,0.4,0,0,0.0,500000.00,0,0,0,0.0,160,0,0,1,0.1,5,0.2,20
8,450,random,0.4,0,0,0.0,500000.00,0,0,0,0.0,160,0,0,1,0.1,5,0.2,20
9,451,random,0.4,1,50,1.0000,52500.00,42,42,42,1.00,160,1,1,0,0.1,5,0.2,20
0,1342,random,0.3,1,50,1.0000,47500.00,38,38,38,1.00,120,1,1,0,0.1,5,0.2,20
1,1343,random,0.3,1,50,1.0000,55000.00,44,44,44,1.00,120,1,1,0,0.1,5,0.2,20
2,1344,random,0.3,1,50,1.0000,55000.00,44,44,44,1.00,120,1,1,0,0.1,5,0.2,20
3,1345,random,0.3,1,50,0.5101,47500.00,38,38,38,1.00,120,1,1,0,0.1,5,0.2,20
4,1346,random,0.3,1,50,0.6039,50000.00,40,40,40,1.00,120,1,1,0,0.1,5,0.2,20
5,1347,random,0.3,1,50,1.0000,47500.00,38,38,38,1.00,120,1,1,0,0.1,5,0.2,20
6,1348,random,0.3,1,50,1.0000,47500.00,38,38,38,1.00,120,1,1,0,0.1,5,0.2,20
7,1349,random,0.3,1,50,0.5101,50000.00,40,40,40,1.00,120,1,1,0,0.1,5,0.2,20
8,1350,random,0.3,1,50,1.0000,47500.00,38,38,38,1.00,120,1,1,0,0.1,5,0.2,20
9,1351,random,0.3,1,50,1.0000,50000.00,40,40,40,1.00,120,1,1,0,0.1,5,0.2,20
0,1442,random,0.4,0,0,0.0,500000.00,0,0,0,0.0,160,0,0,1,0.1,5,0.2,20
1,1443,random,0.4,0,0,0.0,500000.00,0,0,0,0.0,160,0,0,1,0.1,5,0.2,20
2,1444,random,0.4,0,0,0.0,500000.00,0,0,0,0.0,160,0,0,1,0.1,5,0.2,20
3,1445,random,0.4,1,50,1.0000,47500.00,38,38,38,1.00,160,1,1,0,0.1,5,0.2,20
4,1446,random,0.4,1,50,1.0000,55000.00,44,44,44,1.00,160,1,1,0,0.1,5,0.2,20
5,1447,random,0.4,1,50,1.0000,60000.00,48,48,48,1.00,160,1,1,0,0.1,5,0.2,20
6,1448,random,0.4,0,0,0.0,500000.00,0,0,0,0.0,160,0,0,1,0.1,5,0.2,20
7,1449,random,0.4,1,50,1.0000,47500.00,38,38,38,1.00,160,1,1,0,0.1,5,0.2,20
8,1450,random,0.4,1,50,1.0000,47500.00,38,38,38,1.00,160,1,1,0,0.1,5,0.2,20
9,1451,random,0.4,0,0,0.0,500000.00,0,0,0,0.0,160,0,0,1,0.1,5,0.2,20
